_÷__„è ,Username,link,Followers,Reps,Language,Location ,Contributions and own projects,Activity and interests
Grigory Bakunov,bobuk,https://github.com/bobuk ,392,16,Python,"Russia, Moscow",_Ô_È____ https://github.com/bobuk/addmeto.cc,
Fedor Indutny,indutny,https://github.com/indutny ,370,96,"JavaScript, C++, C",Russia,"Evented I/O for V8 javascript, node-spdy - SPDY server on Node.js",
Nicholas Semendyaev,Quarx2k,https://github.com/Quarx2k,330,43,C,"Russia, Omsk","Linux source for Allwinner/Boxchip F20 (sun3i), A10 (sun4i) and A12/A13 (sun5i) SoCs, Jelly Bean for Motorola Defy",Android
Sergey Chikuyonok,sergeche,https://github.com/sergeche ,330,26,"JavaScript, CoffeeScript, Java","Russia, Moscow","Emmet, _À_È_¡___ü__„Ü _À___« Zen/Emmet _«_È„è Eclipse _ü Sublime Text 2",http://www.imobilco.ru/
Alexander Makarov,samdark,https://github.com/samdark,213,27,PHP,Russia,"Yii, Yupe (Yii-based CMS), the-modal - jQuery-_À_È_¡___ü__ _«_È„è __„â___±„Û_¡___µ___ü„è _____«_¡_È„Î__„Ü„É ________",Yii
Max Lapshin,maxlapshin,https://github.com/maxlapshin,209,31,"Erlang, Ruby","Russia, Moscow","Flussonic - HTTP streaming video solution, mysql2postgres - MySQL to PostgreSQL Data Translation",
 Andrey ‰ÛÏA.I‰Ûù Sitnik,ai,https://github.com/ai,155,23,"Ruby, CoffeeScript","Russia, Saint Petersburg","Visibility.js - ___±_µ„Û„â___¡ _«_È„è API ___ü_«_ü____„Å„â_ü ___µ_±-„Å„â„Û_¡___ü„ „Ü, r18n - _È_____¡_È_ü_á_¡„ _ü„è Ruby-_À„Û_ü_È_____µ___ü__",Ruby on Rails
 Nikita Vasilyev,NV,https://github.com/NV,150,62,"JavaScript, Ruby","Russia, Moscow","Ajax.org Cloud9 Editor, chrome-devtools-autosave, CSSOM - CSS Object Model implemented in pure JavaScript.",Google Chrome
Yaroslav Markin,yaroslav,https://github.com/yaroslav,145,12,Ruby,"Russia, Moscow","evilmartians, _À___«_«_µ„Û_____¡ „Û„Ä„Å„Å________ „è_á„Ü___¡ _«_È„è Ruby _ü Rails",http://evilmartians.com/
Vadim Makeev,pepelsbey,https://github.com/pepelsbey ,144,19,JavaScript,"Russia, Saint Petersburg","Shower - HTML presentation engine, darkbox - jQuery _À_È_¡___ü__ _«_È„è __„â___±„Û_¡___µ___ü„è ___¡„Û„â_ü______",Opera Software
