name,username,link,followers,reps,language,location,contributions,interests
Paul Miller ,paulmillr,https://github.com/paulmillr,253,24,JavaScript,"Ukraine, Kharkov??","Chaplin - An Application Architecture Using Backbone.js, ECMAScript 6 (Harmony) compatibility shims for legacy JavaScript engines, Brunch with Chaplin - skeleton for Brunch based on Chaplin framework",
Vladimir Agafonkin,mourner,https://github.com/mourner,153,12,JavaScript,"Ukraine, Kiev",Leaflet - JS-библиотека для создания интерактивных карт,
Alexey Kachayev ,kachayev,https://github.com/kachayev,105,15,Python,"Ukraine, Kiev","https://github.com/kachayev/talks, Storm - distributed realtime computation system, ",http://codemehanika.org/
Alexander Solovyov ,piranha,https://github.com/piranha,99,33,JavaScript,"Ukraine, Kiev"," Micro-Frameworks, Gostatic - static site generator",
Serge Koval ,mrjoes,https://github.com/mrjoes,89,16,Python,"Ukraine, Kiev","Python server implementation of the Socket.IO realtime transport library, Flask",
Kyrylo Mikos,mik9,https://github.com/mik9,76,32,_Á,"Ukraine, Kiev",mobile kernels,"Android, CyanogenMod"
Alexander Beletsky  ,alexanderbeletsky,https://github.com/alexanderbeletsky,82,33,JavaScript,"Ukraine, Kiev",integration of ELMAH into ASP.NET MVC application,".NET, JavaScript, TDD"
Eugene Khvedchenya,BloodAxe,https://github.com/BloodAxe,74,10,C++,"Ukraine, Odessa",OpenCV library,
Sergey Pimenov,olton,https://github.com/olton,60,2,"PHP, HTML/CSS","Ukraine, Kiev",CSS styles for build Windows 8 Metro UI stylable interface,
Mike Chaliy,chaliy,https://github.com/chaliy,57,47,C#,"Ukraine, Kiev",http://kievalt.net/,
