nothing,speciality,language,spec_more,tenure,nothing,nothing,nothing,nothing,nothing,netwage,wage_diff,city,company_size,gender,age,education,english,date,user_agent,nothing,nothing,nothing,nothing,nothing
1,Software Engineer,C#/.NET,,0,1,0,1.5,0,0,2000,0,Dnipropetrovsk,More than 1000,m,33,Higher,Average,12/18/12 12:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11","StackOverflow, HabraHabr",0,16,no,40
1,Software Engineer,PHP,,1.75,0,0,1.5,0,0,1400,600,Kharkiv,Less than 50,m,22,Unfinished higher,Higher than average,12/18/12 12:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11","GitHub, StackOverflow",0,12,no,12
1,Junior Software Engineer,C#/.NET,,1,0,0,1,0,0,565,190,Dnipropetrovsk,Less than 1000,m,25,Higher,Average,12/18/12 12:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",0,18,yes,10
1,Senior Software Engineer,C++,,7,0,0,6,0,0,2800,300,Odesa,Less than 1000,m,30,Doc Candidate,Higher than average,12/18/12 12:21,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,"GitHub, StackOverflow, HabraHabr",1.5,16,no,20
1,Software Engineer,PHP,,3,0,0,0.25,0,0,2000,500,Kyiv,Less than 10,m,32,Higher,Average,12/18/12 12:22,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:17.0) Gecko/20100101 Firefox/17.0,"StackOverflow, HabraHabr",0,8,no,6
1,Software Engineer,Java,,3,0,0,1,0,0,1700,0,Dnipropetrovsk,More than 1000,m,29,Higher,Average,12/18/12 12:23,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","StackOverflow, HabraHabr",0.5,17,yes,14
1,Software Engineer,PHP,,2,0,0,1.25,0,0,1300,100,Kyiv,Less than 200,m,23,Unfinished higher,Higher than average,12/18/12 12:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11","GitHub, StackOverflow, HabraHabr",0.75,15,yes,20
1,Software Engineer,Java,,2,0,0,1.5,0,0,1900,1000,Kyiv,Less than 1000,m,21,Unfinished higher,Higher than average,12/18/12 12:24,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11","GitHub, StackOverflow, HabraHabr",2,16,no,50
1,Junior QA engineer,0,Manual QA,0.25,0,0,0,0,1,750,0,Odesa,Less than 1000,m,23,Higher,Higher than average,12/18/12 12:24,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:17.0) Gecko/20100101 Firefox/17.0,,0,18,yes,1
1,Software Engineer,PHP,,2,0,0,1.75,0,0,1520,520,Kyiv,Less than 10,m,32,Higher,Average,12/18/12 12:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",HabraHabr,0,16,yes,20
